GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bqatsdk-services,io.bqat.sdk.services.dto,ErrorDto,32,0,0,0,9,0,7,0,7,0
bqatsdk-services,io.bqat.sdk.services.dto,RequestDto,23,0,0,0,5,0,6,0,6,0
bqatsdk-services,io.bqat.sdk.services.dto,AuthorizedRolesDTO,10,0,0,0,3,0,3,0,3,0
bqatsdk-services,io.bqat.sdk.services.dto,BqatRequestDto,164,31,38,0,0,6,23,9,4,9
bqatsdk-services,io.bqat.sdk.services.dto,SettingsDto,377,45,78,0,6,16,56,6,17,6
bqatsdk-services,io.bqat.sdk.services.dto,ResponseDto,41,0,0,0,7,0,10,0,10,0
bqatsdk-services,io.bqat.sdk.services.controller,BqatController,512,0,0,0,91,0,12,0,12,0
bqatsdk-services,io.bqat.sdk.services.factory,BqatSdkServiceFactory,30,0,4,0,6,0,4,0,2,0
bqatsdk-services,io.bqat.sdk.services.service,CheckQualityService,313,156,29,6,75,34,22,6,0,6
bqatsdk-services,io.bqat.sdk.services.service,SDKService,1965,1043,198,154,396,253,172,24,0,12
bqatsdk-services,io.bqat.sdk.services.service,SDKInfoService,60,0,0,0,16,0,2,0,2,0
bqatsdk-services,io.bqat.sdk.services.service,SDKServiceHelper,43,102,2,0,8,15,1,3,0,3
bqatsdk-services,io.bqat.sdk.services.constant,ResponseStatus,24,137,4,0,4,20,3,6,1,6
bqatsdk-services,io.bqat.sdk.services.constant,SDKContstant,3,11,0,0,1,5,1,1,1,1
bqatsdk-services,io.bqat.sdk.services.constant,AppConstants,3,0,0,0,1,0,1,0,1,0
bqatsdk-services,io.bqat.sdk.services.constant,ErrorMessages,70,0,0,0,10,0,3,0,3,0
bqatsdk-services,io.bqat.sdk.services,BqatSdkApplication,8,0,0,0,3,0,2,0,2,0
bqatsdk-services,io.bqat.sdk.services.config,LicenseProperty,115,0,22,0,3,0,20,0,9,0
bqatsdk-services,io.bqat.sdk.services.config,SecurityConfig,12,0,0,0,4,0,2,0,2,0
bqatsdk-services,io.bqat.sdk.services.config,Server,115,0,22,0,3,0,20,0,9,0
bqatsdk-services,io.bqat.sdk.services.config,Group,115,0,22,0,3,0,20,0,9,0
bqatsdk-services,io.bqat.sdk.services.config,BioSdkLibConfig,60,0,4,0,17,0,6,0,4,0
bqatsdk-services,io.bqat.sdk.services.config,InfoProperty,195,0,38,0,5,0,32,0,13,0
bqatsdk-services,io.bqat.sdk.services.config,OpenApiProperties,155,0,30,0,4,0,26,0,11,0
bqatsdk-services,io.bqat.sdk.services.config,Service,75,0,14,0,2,0,14,0,7,0
bqatsdk-services,io.bqat.sdk.services.config,SwaggerConfig,95,0,0,0,19,0,6,0,6,0
bqatsdk-services,io.bqat.sdk.services.utils,Utils,80,33,10,6,18,8,15,5,7,5
bqatsdk-services,io.bqat.sdk.services.exceptions,BqatSdkException,15,0,0,0,5,0,2,0,2,0
bqatsdk-services,io.bqat.sdk.services.impl,BqatSdkServiceProviderImpl,751,0,0,0,116,0,10,0,10,0
bqatsdk-services,io.bqat.sdk.services.impl,BqatQualitySdkService,56,40,0,0,7,5,6,2,6,2
bqatsdk-services,io.bqat.sdk.services.dto.request,InitRequestDto,14,0,0,0,4,0,4,0,4,0
bqatsdk-services,io.bqat.sdk.services.dto.request,SegmentRequestDto,32,0,0,0,6,0,8,0,8,0
bqatsdk-services,io.bqat.sdk.services.dto.request,ExtractTemplateRequestDto,32,0,0,0,6,0,8,0,8,0
bqatsdk-services,io.bqat.sdk.services.dto.request,ConvertFormatRequestDto,59,0,0,0,9,0,14,0,14,0
bqatsdk-services,io.bqat.sdk.services.dto.request,MatchRequestDto,42,0,0,0,7,0,10,0,10,0
bqatsdk-services,io.bqat.sdk.services.dto.request,CheckQualityRequestDto,32,0,0,0,6,0,8,0,8,0
